Entity,Code,Day,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Australia,AUS,2021-02-14,1879.93,59.91,,,6.857
Australia,AUS,2021-02-15,2023.2,59.9,,,6.143
Australia,AUS,2021-02-16,2167.99,59.88,,,6.429
Australia,AUS,2021-02-17,2316.53,59.82,,,5.714
Australia,AUS,2021-02-18,2471.59,59.73,,,4.714
Australia,AUS,2021-02-19,2635.4,59.65,,,4.571
Australia,AUS,2021-02-20,2809.48,59.58,,,4.0
Australia,AUS,2021-02-21,2994.93,59.53,,,4.0
Australia,AUS,2021-02-22,3192.63,59.51,,,4.286
Australia,AUS,2021-02-23,3403.41,59.52,,,4.571
Australia,AUS,2021-02-24,3628.11,59.55,,,4.0
Australia,AUS,2021-02-25,3867.58,59.62,,,5.0
Australia,AUS,2021-02-26,3975.85,59.7,,,5.714
Australia,AUS,2021-02-27,3932.12,59.78,,,6.429
Australia,AUS,2021-02-28,3844.17,59.88,,,6.286
Australia,AUS,2021-03-01,3754.4,59.98,,,6.857
Australia,AUS,2021-03-02,3674.89,60.06,,,7.0
Australia,AUS,2021-03-03,3605.95,60.1,,,8.143
Australia,AUS,2021-03-04,3544.66,60.08,,,7.857
Australia,AUS,2021-03-05,3488.14,60.03,,,8.857
Australia,AUS,2021-03-06,3434.38,59.96,,,9.286
Australia,AUS,2021-03-07,3382.22,59.86,,,9.571
Australia,AUS,2021-03-08,3331.09,59.75,,,9.714
Australia,AUS,2021-03-09,3280.71,59.67,,,10.714
Australia,AUS,2021-03-10,3231.0,59.7,,,11.286
Australia,AUS,2021-03-11,3181.93,60.1,,,12.571
Australia,AUS,2021-03-12,3133.41,60.97,,,11.714
Australia,AUS,2021-03-13,3085.43,62.24,,,11.714
Australia,AUS,2021-03-14,3038.06,64.14,,,11.429
Australia,AUS,2021-03-15,2991.35,66.46,,,12.0
Australia,AUS,2021-03-16,2945.27,68.46,,,10.857
Australia,AUS,2021-03-17,2899.84,69.95,,,11.143
Australia,AUS,2021-03-18,2855.03,70.63,,,10.857
Australia,AUS,2021-03-19,2810.83,70.28,,,11.571
