Country,Quarter,beta,gamma
bulgaria,Q14,0.09065997123793003,0.07303069056218614
canada,Q0,0.11036076189319548,0.11027052804231102
canada,Q1,0.028104680313155356,0.02802801501637019
canada,Q2,0.21247903446054425,0.21113499025071622
canada,Q3,0.07226082320467164,0.07094092302165629
canada,Q4,0.1282449952910277,0.12438406540167467
canada,Q5,0.17832236380557925,0.17162738820293474
canada,Q6,0.07361649462871782,0.07037452717685297
canada,Q7,0.06879194632528329,0.06400897677826194
canada,Q8,0.045322845951313806,0.04112673119815625
canada,Q9,0.05275852452016185,0.04729403719223069
canada,Q10,0.04053977109221232,0.036035562337296975
canada,Q11,0.034814979380894305,0.030745871649812677
canada,Q12,0.029776832020460237,0.0261926783802798
canada,Q13,0.03387626828721418,0.02974418091606369
canada,Q14,0.049340447281941445,0.043252306465474795
croatia,Q0,0.036111711860170516,0.03610034298844999
croatia,Q1,0.19320974846920816,0.19294449740810526
croatia,Q2,1.2922569936405355,1.271164934101261
croatia,Q3,0.0823686049412768,0.07774128361256925
croatia,Q4,0.12266495348478457,0.11310643558911086
croatia,Q5,0.522730755736189,0.47520703040443973
croatia,Q6,0.3756789858222756,0.32983626821695605
croatia,Q7,0.23171916229987938,0.18084480366812716
croatia,Q8,0.09579632730708285,0.06927128292994203
croatia,Q9,0.2584180810662193,0.18279643644499574
croatia,Q10,0.10840339016042246,0.07498327102447716
croatia,Q11,0.06618552935761073,0.04539744700316436
croatia,Q12,0.1486623662269325,0.10174546238497725
croatia,Q13,0.0763205430824527,0.05219464418932715
croatia,Q14,0.11271938594661587,0.07703371771784642
cyprus,Q0,0.03632719113059143,0.0363116650183693
cyprus,Q1,0.02991051465349296,0.029878067661106202
cyprus,Q2,0.16215169005030616,0.16159843077872751
cyprus,Q3,0.025718589723866415,0.025091186858688237
cyprus,Q4,0.04581536221377857,0.043081055610147516
cyprus,Q5,0.10148450924745071,0.09166831650849756
cyprus,Q6,0.030611404953715546,0.02654645426463663
cyprus,Q7,0.10839495179606506,0.08189972117670238
cyprus,Q8,0.05012746346149762,0.025741112669154177
cyprus,Q9,0.1345945209274302,0.053948366781550454
cyprus,Q10,0.1507645527429103,0.05089803570534035
cyprus,Q11,0.1394478474986732,0.040612657808227495
cyprus,Q12,0.1362184978882222,0.03638016097210713
cyprus,Q13,0,0
cyprus,Q14,0,0
denmark,Q0,0.07305541689461142,0.07297313703511718
denmark,Q1,0.13070254665576606,0.1303872843273895
denmark,Q2,0.12731237484969618,0.12630178070980194
denmark,Q3,0.037167509629777266,0.03604566992964256
denmark,Q4,0.08819732699740669,0.08448388047275439
denmark,Q5,0.23089250772494285,0.21860217837604323
denmark,Q6,0.35104660159364287,0.3271365527188838
denmark,Q7,0.17670993534701196,0.13249105115516568
denmark,Q8,0.06309605683571588,0.03167911112294374
denmark,Q9,0.13977324729086413,0.06745367926696937
denmark,Q10,0.1344509995696935,0.06301049763145951
denmark,Q11,0.07750559846767906,0.03576343032249931
denmark,Q12,0.09432200143508121,0.043340033195928745
denmark,Q13,0.2652655594797826,0.12174571580064872
denmark,Q14,0,0
finland,Q0,0.04437145775736993,0.044345160140053005
finland,Q1,0.04075806232941155,0.04070400919480263
finland,Q2,0.07287295115975852,0.07269253795193271
finland,Q3,0.040969077985841235,0.040682961772305
finland,Q4,0.02508973717831761,0.0247352451788567
finland,Q5,0.09984468324547655,0.09798365345987842
finland,Q6,0.0501563865694946,0.04879238609538741
finland,Q7,0.06624482779150836,0.06177696813658309
finland,Q8,0.02808509097803562,0.023506780850836073
finland,Q9,0.04548663929857753,0.035873677202993885
finland,Q10,0.05634691546990435,0.042866119230075446
finland,Q11,0.02494914211869985,0.0184426044583263
finland,Q12,0.067747724844921,0.04976704235516353
finland,Q13,0.03372660808354866,0.0247015957561176
finland,Q14,0.14259381242339733,0.10424181131009591
france,Q0,0.04710912127705028,0.047055391747192435
france,Q1,0.12112760703175013,0.12081040803439476
france,Q2,0.1048155994662108,0.10324722771977042
france,Q3,0.06502817267596119,0.06239799053094666
france,Q4,0.044085911596243296,0.04102096301319229
france,Q5,0.26596306839651046,0.24223824749576053
france,Q6,0.07855218256678703,0.07027698608861135
france,Q7,0.1261681462250804,0.09873831994580243
france,Q8,0.06204797672189292,0.03761267258083952
france,Q9,0.08846657287743503,0.04637279883598479
france,Q10,0.11826466431434464,0.055305473067112025
france,Q11,0.049838617623702494,0.02103942857900883
france,Q12,0.09874566590002239,0.04069434599993689
france,Q13,0.039595467499846396,0.016163992606994273
france,Q14,0,0
germany,Q0,0.041566689363731146,0.041511198711780585
germany,Q1,0.09524312219208142,0.09500227474458922
germany,Q2,0.32827081727704094,0.32615841422533354
germany,Q3,0.041830167461929316,0.04085858258525973
germany,Q4,0.06302112773622902,0.06065260887666398
germany,Q5,0.14224720095722215,0.13578024769862243
germany,Q6,0.13669803452592277,0.1290614743622445
germany,Q7,0.15286000448874723,0.1360025824143319
germany,Q8,0.03990787510050793,0.029409660021539157
germany,Q9,0.0701994628157511,0.04548599504510882
germany,Q10,0.09943011572123106,0.05843880293537243
germany,Q11,0.05751176910395275,0.03167739905106503
germany,Q12,0.04438481245505019,0.023969807418419673
germany,Q13,0.0009236940164087911,0.0004980565064447408
germany,Q14,0.0008520718837423599,0.00047616092219727524
ireland,Q0,0.08592720547801976,0.08576179205991945
ireland,Q1,0.06529387208268911,0.06495864476827574
ireland,Q2,0.061012824623433576,0.0604691708727725
ireland,Q3,0.07845302042269728,0.07637875584885716
ireland,Q4,0.030525795322265667,0.029084546329696172
ireland,Q5,0.07502916617751865,0.07078618625606946
ireland,Q6,0.05039576154951127,0.046275473236362274
ireland,Q7,0.057458294315090634,0.047194545719684386
ireland,Q8,0.027341271933310516,0.019490729187000125
ireland,Q9,0.04229238122234732,0.02875272383012416
ireland,Q10,0.05133723695325997,0.034304476448804015
ireland,Q11,0.03831081595212013,0.025401077182576143
ireland,Q12,0.0367005891267238,0.024223908089798712
ireland,Q13,0.05793668374991881,0.038166245676407716
ireland,Q14,0.04169973671157822,0.027410347732956773
israel,Q0,0.03359845021117201,0.03357071203277254
israel,Q1,0.12655097546600685,0.1257802182536165
israel,Q2,0.031512683950547016,0.03061996540456299
israel,Q3,0.10790190034512072,0.10132861864246524
israel,Q4,0.015839112771983056,0.014451928530838142
israel,Q5,0.3892526062332055,0.3514940229294999
israel,Q6,0.0357356537490598,0.030827153138675224
israel,Q7,1.3115504534702378,0.9579633286605234
israel,Q8,0.07326987529978615,0.0422237692998529
israel,Q9,0.11644875199889616,0.06117199507354473
israel,Q10,0.22913315842737325,0.11549662069329716
israel,Q11,0.12489030668516889,0.06175171375605302
israel,Q12,0.017774397688869053,0.008727019835029508
israel,Q13,0.000132123001698939,6.485061963984045e-05
israel,Q14,2.8257055721596605e-05,1.3859952635784775e-05
italy,Q0,0.030389974062619035,0.030330175272259317
italy,Q1,0.019764415483932027,0.01968522722374392
italy,Q2,0.20027618756246188,0.19834030849829898
italy,Q3,0.030378245586623494,0.02927104957718348
italy,Q4,0.0286198439517447,0.02686725092671065
italy,Q5,0.04569118426422737,0.042351906693691044
italy,Q6,0.04395977042248244,0.040430779627729445
italy,Q7,0.1055211939697791,0.0897655144564333
italy,Q8,0.05370887331268106,0.03977999779405029
italy,Q9,0.08520757716104863,0.056761124398654474
italy,Q10,0.11379277384729349,0.0691640758914987
italy,Q11,0.043641298135560544,0.025030727854904226
italy,Q12,0.03733031025965559,0.021099949568317226
italy,Q13,0.016639973233648166,0.009363662853837967
italy,Q14,0.05232621734152735,0.029199159741643346
latvia,Q0,0.027109397413604498,0.027103389269305733
latvia,Q1,0.028476277615365673,0.028459223027628176
latvia,Q2,0.29906209532640926,0.29828478296122907
latvia,Q3,0.06820651116137684,0.06611244197384514
latvia,Q4,0.07651200064630666,0.07182458259752782
latvia,Q5,0.09963242635890023,0.09214613073095729
latvia,Q6,0.16174012165549673,0.14439496535529045
latvia,Q7,0.6050300192298438,0.47267901818388347
latvia,Q8,0.048882310721136045,0.027650829686296195
latvia,Q9,0.350209057324075,0.18760015726736815
latvia,Q10,0.08782807657798652,0.04315538084431682
latvia,Q11,0.049830928972822784,0.023605915280764753
latvia,Q12,0.10615686489026538,0.05010063084374682
latvia,Q13,0.0005973816041099681,0.0002817608327132258
latvia,Q14,0.0030833927186267765,0.0014542124266901932
lithuania,Q0,0.05667368199944521,0.056657312312435676
lithuania,Q1,0.05,0.1726041844008977
lithuania,Q2,0.3441531821731044,0.341861377501621
lithuania,Q3,0.029944496529630438,0.0282999974101636
lithuania,Q4,0.07561886333489704,0.06919256478030514
lithuania,Q5,0.1683854009990391,0.1510171600226249
lithuania,Q6,0.08989304519621197,0.07759117221752491
lithuania,Q7,0.22066090006498623,0.16821698819605393
lithuania,Q8,0.0390975958936631,0.02335054018405718
lithuania,Q9,0.23668691319358698,0.13535506972328518
lithuania,Q10,0.05282408325708467,0.02874681263210899
lithuania,Q11,0.07718918944932175,0.04093663612492324
lithuania,Q12,0.05514076701302402,0.028774048994401714
lithuania,Q13,0.09400300843036809,0.04882387752073204
lithuania,Q14,0.12502940527400697,0.06434561894211652
malta,Q0,0.04598884095099582,0.045962241905785926
malta,Q1,0.8996014462325055,0.8979068917929315
malta,Q2,0.19269134246195907,0.1907350704219454
malta,Q3,0.1097100383370166,0.10632956424813314
malta,Q4,0.04776016754940873,0.045106791692278075
malta,Q5,1.5912785954060829,1.493066264964286
malta,Q6,0.04814442474801381,0.04476886262310444
malta,Q7,0.041831883132522216,0.0372231887931102
malta,Q8,0.05687243119982986,0.04778330342425242
malta,Q9,0.0460828365879906,0.036834514713876346
malta,Q10,0.036114092935995726,0.028346379801678766
malta,Q11,0.034821195917689084,0.027222619492076102
malta,Q12,0.02625694468926591,0.020455948296663088
malta,Q13,0.03406543829119561,0.02647037528388028
malta,Q14,0.018997184594965383,0.01471815522313783
netherlands,Q0,0.046420872851048206,0.046366942525482846
netherlands,Q1,0.04993845946996955,0.04979015331368427
netherlands,Q2,0.08581579134869124,0.08479151265767562
netherlands,Q3,0.027374894476419,0.026149631152348588
netherlands,Q4,0.038301077119433084,0.0354280623541224
netherlands,Q5,0.10235019634519942,0.0921349055646914
netherlands,Q6,0.08846286408342277,0.07801336749855883
netherlands,Q7,0.09543830784846409,0.07532942528896913
netherlands,Q8,0.031078335655798876,0.01783668942966774
netherlands,Q9,0.06785267119139811,0.03610873800621927
netherlands,Q10,0.07781750994196726,0.040369841852592826
netherlands,Q11,0.04653177004048709,0.023836106895076085
netherlands,Q12,0.033214437249838254,0.016940789483984225
netherlands,Q13,0.0125514951392177,0.006397640883741825
netherlands,Q14,0.05204157362607071,0.026504295992155102
new-Zealand,Q0,0.035617531443847224,0.03561100910830283
new-Zealand,Q1,0.13255846074181415,0.13251777085668504
new-Zealand,Q2,0.06969153891887901,0.06966560410624507
new-Zealand,Q3,0.07123987717091909,0.07120950739911275
new-Zealand,Q4,0.05,0.058038860561776325
new-Zealand,Q5,0.3349800430268525,0.33478871951069916
new-Zealand,Q6,0.2857224613854209,0.28537951938468825
new-Zealand,Q7,2.1867204601588215,2.159963820888035
new-Zealand,Q8,0.10676670708706425,0.08848185944320729
new-Zealand,Q9,0.20084632650438758,0.14103622409064373
new-Zealand,Q10,0.4868794994163146,0.31174629178565066
new-Zealand,Q11,0.155222702003044,0.09041865261688489
new-Zealand,Q12,0.2998896441323341,0.1656923154068075
new-Zealand,Q13,0.2274722122056087,0.12061422158987183
new-Zealand,Q14,0.8996351120860551,0.46778741221901
norway,Q0,0.01966201143826208,0.019651696160505477
norway,Q1,0.048538801518082215,0.048457299456011814
norway,Q2,0.09548548864197814,0.09515489487248714
norway,Q3,0.040673157531951366,0.040264400233038795
norway,Q4,0.04025895224344779,0.03949348960073988
norway,Q5,0.12359488591502081,0.12043722682856736
norway,Q6,0.10863666500405199,0.10441848527620895
norway,Q7,0.22339693892126553,0.19505872094447782
norway,Q8,0.03398544765730583,0.02518614534392971
norway,Q9,0.04209289401416182,0.030859957638958838
norway,Q10,0.08175429126418778,0.059722396281143925
norway,Q11,0.04063342895762756,0.029596223063861466
norway,Q12,0.051376648402318925,0.037363091106225425
norway,Q13,0.06703277566507673,0.04870124219761152
norway,Q14,0.06823052031713077,0.04952817205682885
portugal,Q0,0.0410898246030535,0.041051276350616325
portugal,Q1,0.02438213966311665,0.02428301659470119
portugal,Q2,0.1271071927644817,0.12537193264106564
portugal,Q3,0.11157876023768368,0.10550251433670679
portugal,Q4,0.06061892817452031,0.055816324355430914
portugal,Q5,0.09942850992868907,0.09044779136457488
portugal,Q6,0.04505713695904441,0.0403426403937713
