Entity,Date,Beta,Susceptible
Ireland,27/10/2020,0.021155000298788234,0.988412353
Ireland,29/10/2020,0.022844995663692743,0.988086061
Ireland,31/10/2020,0.03821300167964893,0.987781469
Ireland,02/11/2020,0.018576449893109255,0.987550736
Ireland,04/11/2020,0.0479255818232584,0.987293126
Ireland,06/11/2020,0.04471472287202814,0.9871472
Ireland,08/11/2020,0.035128194402353326,0.986937171
Ireland,10/11/2020,0.028414342382874633,0.986766759
Ireland,12/11/2020,0.032144170923140744,0.986668214
Ireland,14/11/2020,0.036965978660764266,0.986520298
Ireland,16/11/2020,0.04073627411360082,0.98634232
Ireland,18/11/2020,0.04242951802096634,0.986177084
Ireland,20/11/2020,0.046322550352417516,0.98603733
Ireland,22/11/2020,0.051429511370636095,0.985889214
Ireland,24/11/2020,0.056713221922061484,0.985758021
Ireland,26/11/2020,0.05102758943992061,0.985664652
Ireland,28/11/2020,0.05056845127638483,0.985552371
Ireland,30/11/2020,0.05112371918724475,0.985463183
Ireland,02/12/2020,0.0592564429139599,0.985343337
Ireland,04/12/2020,0.06739833357575617,0.985239418
Ireland,06/12/2020,0.07472589174470101,0.985154809
Ireland,08/12/2020,0.07857193337288881,0.985004503
Ireland,10/12/2020,0.08392265333551366,0.984917704
Ireland,12/12/2020,0.0960081663294186,0.984813984
Ireland,14/12/2020,0.1135148388711147,0.984703892
Ireland,16/12/2020,0.12007678847892982,0.98456593
Ireland,18/12/2020,0.12260122799134297,0.984417018
Ireland,20/12/2020,0.11625894878048196,0.984206591
Ireland,22/12/2020,0.10597163913622121,0.983950176
Ireland,24/12/2020,0.08824628064146438,0.983614527
Ireland,26/12/2020,0.06737547138404798,0.983247225
Ireland,28/12/2020,0.048968682673003354,0.98278516
Ireland,30/12/2020,0.037311199346292276,0.98248654
Ireland,01/01/2021,0.031005175823249718,0.981836544
Ireland,03/01/2021,0.032742132101872254,0.981165048
Ireland,05/01/2021,0.036890326411614875,0.979501735
Ireland,07/01/2021,0.035884757254283604,0.977225256
Ireland,09/01/2021,0.026031961013115484,0.974371445
Ireland,11/01/2021,0.014936230185603578,0.97176947
Ireland,13/01/2021,0.01501592338866553,0.969417938
