quarter,country,cluster,beta
Q3,switzerland,0,0.0585725503485963
Q3,lithuania,1,0.0322893614669731
Q3,portugal,1,0.0223271616941632
Q3,croatia,1,0.0257185897238664
Q3,sweden,1,0.0371675096297772
Q3,israel,1,0.0409690779858412
Q3,bulgaria,1,0.0418301674619293
Q3,germany,1,0.0303782455866234
Q3,slovakia,1,0.0299444965296304
Q3,south-korea,1,0.027374894476419
Q3,france,1,0.0406731575319513
Q3,denmark,1,0.0476921367159661
Q3,finland,1,0.036316277269747
Q3,us,1,0.0279353271466169
Q3,spain,1,0.0271565340316825
Q3,norway,1,0.0339031576170483
Q3,new-Zealand,1,0.0223287085257525
Q3,romania,1,0.0304758260057741
Q3,malta,2,0.1079019003451207
Q3,netherlands,2,0.1097100383370166
Q3,australia,2,0.1115787602376836
Q3,ireland,3,0.1473292838371819
Q4,austria,0,0.1149465801969186
Q4,slovenia,0,0.1282449952910277
Q4,canada,0,0.1226649534847845
Q4,ireland,0,0.1056013355923083
Q4,norway,1,1.5031327365892873
Q4,cyprus,2,0.0458977068295272
Q4,lithuania,2,0.0315566119863951
Q4,portugal,2,0.0285965973980118
Q4,croatia,2,0.0458153622137785
Q4,israel,2,0.0250897371783176
Q4,latvia,2,0.0440859115962432
Q4,taiwan,2,0.0305257953222656
Q4,malta,2,0.015839112771983
Q4,germany,2,0.0286198439517447
Q4,netherlands,2,0.0477601675494087
Q4,south-korea,2,0.038301077119433
Q4,belgium,2,0.05
Q4,france,2,0.0402589522434477
Q4,italy,2,0.0410097534031156
Q4,denmark,2,0.0400787712309854
Q4,switzerland,2,0.0401546381123402
Q4,us,2,0.036482323990009
Q4,spain,2,0.0404460540801582
Q4,new-Zealand,2,0.0168202163514676
Q4,romania,2,0.027830585231534
Q4,sweden,3,0.0881973269974066
Q4,bulgaria,3,0.063021127736229
Q4,singapore,3,0.0765120006463066
Q4,slovakia,3,0.075618863334897
Q4,australia,3,0.0606189281745203
Q4,uk,3,0.0599658852082317
Q4,finland,3,0.0911900409275363
Q5,cyprus,0,0.1288218540603699
Q5,lithuania,0,0.0686007655490179
Q5,portugal,0,0.0349468063648253
Q5,slovenia,0,0.1783223638055792
Q5,croatia,0,0.1014845092474507
Q5,israel,0,0.0998446832454765
Q5,bulgaria,0,0.1422472009572221
Q5,taiwan,0,0.0750291661775186
Q5,germany,0,0.0456911842642273
Q5,singapore,0,0.0996324263589002
Q5,slovakia,0,0.1683854009990391
Q5,south-korea,0,0.1023501963451994
Q5,france,0,0.1235948859150208
Q5,australia,0,0.099428509928689
Q5,denmark,0,0.1311320280698179
Q5,finland,0,0.1642237092297511
Q5,switzerland,0,0.0938113349022034
Q5,us,0,0.0360689955260888
Q5,spain,0,0.1249910604428971
Q5,norway,0,0.0211976986833667
Q5,new-Zealand,0,0.065029816570313
Q5,romania,0,0.0656245887702788
Q5,netherlands,1,1.5912785954060829
Q5,canada,2,0.522730755736189
Q5,sweden,2,0.2308925077249428
Q5,latvia,2,0.2659630683965104
Q5,malta,2,0.3892526062332055
Q5,belgium,2,0.3349800430268525
Q5,italy,2,0.3017238105526985
Q5,uk,2,0.272067577678155
Q5,ireland,2,0.2888246211890871
Q5,austria,3,1.196979297272645
Q6,cyprus,0,0.2038053160404564
Q6,bulgaria,0,0.1366980345259227
Q6,singapore,0,0.1617401216554967
Q6,uk,0,0.1592113345792268
Q6,ireland,0,0.1334210559515238
Q6,canada,1,0.3756789858222756
Q6,sweden,1,0.3510466015936428
Q6,belgium,1,0.2857224613854209
Q6,denmark,1,0.297447219463509
Q6,portugal,2,0.0501919331515437
Q6,croatia,2,0.0306114049537155
Q6,israel,2,0.0501563865694946
Q6,taiwan,2,0.0503957615495112
Q6,malta,2,0.0357356537490598
Q6,germany,2,0.0439597704224824
Q6,netherlands,2,0.0481444247480138
Q6,australia,2,0.0450571369590444
Q6,finland,2,0.0627712212939111
Q6,switzerland,2,0.02894168312252
Q6,us,2,0.0344645539908524
Q6,spain,2,0.0378515635093104
Q6,norway,2,0.0422584196900456
Q6,new-Zealand,2,0.0423308807517089
Q6,romania,2,0.028641092006389
Q6,austria,3,0.0985308868904931
Q6,lithuania,3,0.0764099869629533
Q6,slovenia,3,0.0736164946287178
Q6,latvia,3,0.078552182566787
Q6,slovakia,3,0.0898930451962119
Q6,south-korea,3,0.0884628640834227
Q6,france,3,0.1086366650040519
Q6,italy,3,0.1094086825543435
Q7,cyprus,0,0.6987915433930036
Q7,singapore,0,0.6050300192298438
Q7,uk,0,0.4723877444891323
Q7,belgium,1,2.186720460158821
Q7,ireland,1,2.6590865384536806
Q7,austria,2,0.2906384250881351
Q7,lithuania,2,0.0695163906559538
Q7,portugal,2,0.0385474787238146
Q7,slovenia,2,0.0687919463252832
Q7,canada,2,0.2317191622998793
Q7,croatia,2,0.108394951796065
Q7,sweden,2,0.1767099353470119
Q7,israel,2,0.0662448277915083
Q7,latvia,2,0.1261681462250804
Q7,bulgaria,2,0.1528600044887472
Q7,taiwan,2,0.0574582943150906
Q7,germany,2,0.1055211939697791
Q7,slovakia,2,0.2206609000649862
Q7,netherlands,2,0.0418318831325222
Q7,south-korea,2,0.095438307848464
Q7,france,2,0.2233969389212655
Q7,australia,2,0.1678961991811577
Q7,denmark,2,0.2314392039664309
Q7,finland,2,0.2660668120773752
Q7,switzerland,2,0.0616252344953462
Q7,us,2,0.1254428375292144
Q7,spain,2,0.0725381412754939
Q7,norway,2,0.1413204761454412
Q7,new-Zealand,2,0.0429784536276376
Q7,romania,2,0.0683884249154324
Q7,malta,3,1.3115504534702378
Q7,italy,3,1.1327253306768854
Q8,cyprus,0,0.0666046827128684
Q8,croatia,0,0.0501274634614976
Q8,sweden,0,0.0630960568357158
Q8,latvia,0,0.0620479767218929
Q8,malta,0,0.0732698752997861
Q8,germany,0,0.053708873312681
Q8,singapore,0,0.048882310721136
Q8,netherlands,0,0.0568724311998298
Q8,australia,0,0.0613859946397283
Q8,uk,0,0.0680240121315833
Q8,ireland,0,0.0559920222140266
Q8,norway,1,7.002162186579307
Q8,lithuania,2,0.0370345143047879
Q8,portugal,2,0.0126773829623415
Q8,slovenia,2,0.0453228459513138
Q8,israel,2,0.0280850909780356
Q8,bulgaria,2,0.0399078751005079
Q8,taiwan,2,0.0273412719333105
Q8,slovakia,2,0.0390975958936631
Q8,south-korea,2,0.0310783356557988
Q8,france,2,0.0339854476573058
Q8,italy,2,0.0362399720690866
Q8,denmark,2,0.0395053228356953
Q8,finland,2,0.0360635196289934
Q8,switzerland,2,0.037019047437367
Q8,us,2,0.0267427046089782
Q8,spain,2,0.0304374661815369
Q8,new-Zealand,2,0.0326979981021118
Q8,romania,2,0.0437526642279948
Q8,austria,3,0.1010239880569555
Q8,canada,3,0.0957963273070828
Q8,belgium,3,0.1067667070870642
Q9,canada,0,0.2584180810662193
Q9,singapore,0,0.350209057324075
Q9,slovakia,0,0.2366869131935869
Q9,uk,0,0.2752962513141622
Q9,lithuania,1,0.0581207719084244
Q9,portugal,1,0.0369431498186466
Q9,slovenia,1,0.0527585245201618
Q9,israel,1,0.0454866392985775
Q9,latvia,1,0.088466572877435
Q9,bulgaria,1,0.0701994628157511
Q9,taiwan,1,0.0422923812223473
Q9,germany,1,0.0852075771610486
Q9,netherlands,1,0.0460828365879906
Q9,south-korea,1,0.0678526711913981
Q9,france,1,0.0420928940141618
Q9,australia,1,0.0443242912487382
Q9,switzerland,1,0.0383962491073857
Q9,ireland,1,0.0887836218217088
Q9,us,1,0.058455466680302
Q9,spain,1,0.0718060884629871
Q9,norway,1,0.040848197152812
Q9,new-Zealand,1,0.0570555110558311
Q9,romania,1,0.0411884977402705
Q9,italy,2,0.670166461977754
Q9,finland,2,0.6054542828473394
Q9,austria,3,0.1516073495554521
Q9,cyprus,3,0.1889804929495574
Q9,croatia,3,0.1345945209274302
Q9,sweden,3,0.1397732472908641
Q9,malta,3,0.1164487519988961
Q9,belgium,3,0.2008463265043875
Q9,denmark,3,0.1795102620936209
Q10,lithuania,0,0.044101851537578
Q10,portugal,0,0.0617563947395367
Q10,slovenia,0,0.0405397710922123
Q10,israel,0,0.0563469154699043
Q10,taiwan,0,0.0513372369532599
Q10,slovakia,0,0.0528240832570846
Q10,netherlands,0,0.0361140929359957
Q10,australia,0,0.0534452179162044
Q10,italy,0,0.0426943743112333
Q10,denmark,0,0.0714917410526784
Q10,switzerland,0,0.0478218324441081
Q10,us,0,0.0298131400486809
Q10,norway,0,0.0612021694242914
Q10,new-Zealand,0,0.0679582032867005
Q10,romania,0,0.0310285548094765
Q10,belgium,1,0.4868794994163146
Q10,austria,2,0.1609385163643309
Q10,cyprus,2,0.1915191954414768
Q10,croatia,2,0.1507645527429103
Q10,malta,2,0.2291331584273732
Q10,canada,3,0.1084033901604224
Q10,sweden,3,0.1344509995696935
Q10,latvia,3,0.1182646643143446
Q10,bulgaria,3,0.099430115721231
Q10,germany,3,0.1137927738472934
Q10,singapore,3,0.0878280765779865
Q10,south-korea,3,0.0778175099419672
Q10,france,3,0.0817542912641877
Q10,uk,3,0.1176091624339623
Q10,finland,3,0.1024536943130701
Q10,ireland,3,0.0905988100892581
Q10,spain,3,0.0850826646095823
Q11,austria,0,0.0892272512919777
Q11,canada,0,0.0661855293576107
Q11,sweden,0,0.077505598467679
Q11,slovakia,0,0.0771891894493217
Q11,australia,0,0.0884958924902715
Q11,italy,0,0.0899817929517766
Q11,denmark,0,0.082102075814348
Q11,uk,0,0.080188193238314
Q11,finland,0,0.0751505419710132
Q11,ireland,0,0.0606111924793504
Q11,norway,0,0.0846224116679379
Q11,croatia,1,0.1394478474986732
Q11,malta,1,0.1248903066851688
Q11,belgium,1,0.155222702003044
Q11,lithuania,2,0.0342382288509859
Q11,portugal,2,0.0334104627933698
Q11,slovenia,2,0.0348149793808943
Q11,israel,2,0.0249491421186998
Q11,latvia,2,0.0498386176237024
Q11,bulgaria,2,0.0575117691039527
Q11,taiwan,2,0.0383108159521201
Q11,germany,2,0.0436412981355605
Q11,singapore,2,0.0498309289728227
Q11,netherlands,2,0.034821195917689
Q11,south-korea,2,0.046531770040487
Q11,france,2,0.0406334289576275
Q11,switzerland,2,0.0360394755106667
Q11,us,2,0.0269581234500942
Q11,spain,2,0.0357558246030672
Q11,new-Zealand,2,0.0469441330493427
Q11,romania,2,0.0312138745703043
Q11,cyprus,3,0.2434347266440426
Q12,lithuania,0,0.0330954497927566
Q12,portugal,0,0.0627310847432216
Q12,slovenia,0,0.0297768320204602
Q12,israel,0,0.067747724844921
Q12,bulgaria,0,0.0443848124550501
Q12,taiwan,0,0.0367005891267238
Q12,malta,0,0.017774397688869
Q12,germany,0,0.0373303102596555
Q12,slovakia,0,0.055140767013024
Q12,netherlands,0,0.0262569446892659
Q12,south-korea,0,0.0332144372498382
Q12,france,0,0.0513766484023189
Q12,italy,0,0.0563822008518146
Q12,denmark,0,0.0566872921086214
Q12,uk,0,0.0612869610287363
Q12,switzerland,0,0.051841770757849
Q12,us,0,0.0414011174167987
Q12,spain,0,0.0574997356033209
Q12,norway,0,0.0289498417701953
Q12,new-Zealand,0,0.0400758909103367
Q12,romania,0,0.0215422576429144
Q12,austria,1,0.2074033404333376
Q12,canada,1,0.1486623662269325
Q12,finland,1,0.1782538771425958
Q12,belgium,2,0.2998896441323341
Q12,cyprus,3,0.1158291974718527
Q12,croatia,3,0.1362184978882222
Q12,sweden,3,0.0943220014350812
Q12,latvia,3,0.0987456659000223
Q12,singapore,3,0.1061568648902653
Q12,australia,3,0.0930654110459784
Q12,ireland,3,0.1092745664306389
Q13,sweden,0,0.2652655594797826
Q13,belgium,0,0.2274722122056087
Q13,finland,0,0.2716558006326786
Q13,cyprus,1,-1.0326760460993961e-07
Q13,portugal,1,0.0239840600388122
Q13,slovenia,1,0.0338762682872141
Q13,croatia,1,0.0
Q13,israel,1,0.0337266080835486
Q13,latvia,1,0.0395954674998463
Q13,bulgaria,1,0.0009236940164087
Q13,malta,1,0.0001321230016989
Q13,germany,1,0.0166399732336481
Q13,singapore,1,0.0005973816041099
Q13,netherlands,1,0.0340654382911956
Q13,south-korea,1,0.0125514951392177
Q13,denmark,1,0.0
Q13,uk,1,0.0288042709498816
Q13,switzerland,1,4.0856662031846213e-08
Q13,us,1,0.0299240515591207
Q13,norway,1,0.0273958093450639
Q13,romania,1,0.0190015682882364
Q13,lithuania,2,0.0459762261593645
Q13,canada,2,0.0763205430824527
Q13,taiwan,2,0.0579366837499188
Q13,slovakia,2,0.094003008430368
Q13,france,2,0.0670327756650767
Q13,ireland,2,0.0810111590693766
Q13,spain,2,0.064399101245738
Q13,new-Zealand,2,0.0592120863638175
Q13,austria,3,0.1022483722914275
Q13,australia,3,0.1566699415149886
Q13,italy,3,0.1222114203012558
Q14,cyprus,0,-5.5491424000149554e-08
Q14,croatia,0,0.0
Q14,sweden,0,0.0
Q14,latvia,0,0.0
Q14,bulgaria,0,0.0008520718837423
Q14,malta,0,2.8257055721596605e-05
Q14,singapore,0,0.0030833927186267
Q14,netherlands,0,0.0189971845949653
Q14,finland,0,0.0
Q14,switzerland,0,-1.9013859250971e-08
Q14,norway,0,0.0
Q14,romania,0,0.0207871683111159
Q14,belgium,1,0.8996351120860551
Q14,austria,2,0.2158229335714911
Q14,canada,2,0.1127193859466158
Q14,israel,2,0.1425938124233973
Q14,slovakia,2,0.1250294052740069
Q14,denmark,2,0.163700222389054
Q14,uk,2,0.2139660469490089
Q14,ireland,2,0.1210003580368732
Q14,lithuania,3,0.0448765036291787
Q14,portugal,3,0.09065997123793
Q14,slovenia,3,0.0493404472819414
Q14,taiwan,3,0.0416997367115782
Q14,germany,3,0.0523262173415273
Q14,south-korea,3,0.0520415736260707
Q14,france,3,0.0682305203171307
Q14,australia,3,0.0508771327043876
Q14,italy,3,0.0548657602061625
Q14,us,3,0.0775105385317299
Q14,spain,3,0.0781785668017162
Q14,new-Zealand,3,0.0484174731373807
